Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,FCA US LLC,Dodge,Charger,5.7,8,Auto(A8),16,25,19,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Mid Grade Unleaded Recommended),Large Cars
2015,FCA US LLC,Dodge,Charger AWD,3.6,6,Auto(A8),18,27,21,Naturally Aspirated,Automatic,8,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Dodge,Charger AWD,3.6,6,Auto(A8),18,27,21,Naturally Aspirated,Automatic,8,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Dodge,Charger SRT8,6.2,8,Auto(A8),13,22,16,Supercharged,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,FCA US LLC,Dodge,Charger SRT8,6.4,8,Auto(A8),15,25,18,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,Ford Motor Company,Ford,C-MAX Hybrid FWD,2,4,Auto(AV),42,37,40,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
2015,Ford Motor Company,Ford,TAURUS AWD,3.5,6,Auto(S6),18,26,21,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,Ford Motor Company,Ford,TAURUS AWD,3.5,6,Auto(S6),17,25,20,Turbocharged,Semi-Automatic,6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,Ford Motor Company,Ford,TAURUS AWD FFV,3.5,6,Auto(S6),18,26,21,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,Ford Motor Company,Ford,TAURUS FWD,2,4,Auto(S6),22,32,26,Turbocharged,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
